cattāri ariyasaccāni
cattāro satipaṭṭhānā
cattāro sammappadhānā
cattāro iddhipādā
pañcindriyāni
pañca balāni
satta bojjhaṅgā
ariyo aṭṭhaṅgiko maggo

dukkhaṁ ariyasaccaṁ
dukkhasamudayaṁ ariyasaccaṁ
dukkhanirodhaṁ ariyasaccaṁ
dukkhanirodhagāminī paṭipadā ariyasaccaṁ 
dukkh.*ariyasacc

taṇh.*vedan.*samud.*paṭipad
ābādhā 44
ābādhānaṁ 6
ābādhāya 34
ābādhabhūtaṁ 1
ābādhabhūto 1
ābādhaṁ 15
ābādhapaccayā 5
ābādhappaccayā 9
ābādhatī”ti 1
ābādhato 17
ābādhatopi 1
ābādhayitthā”ti 1
ābādhehi 6
ābādhena 12
ābādhenapi 3
ābādhikā 3
ābādhikaṁ 5
ābādhikinī 2
ābādhiko 66
ābādho 99
ābādho”ti 9
ābhā 23
ābhādhātu 5
ābhānānattaṁ 3
ābhānānattañca 3
ābhānaṁ 5
ābhāpi 2
ābhāsutta 1
ābhāvagga 10
ābhāvaggo 1
ābhāya 21
ābhaṁ 1
ābhan”ti 1
ābharaṇaṁ 2
ābhassarā 14
ābhassarānaṁ 8
ābhassarānampi 1
ābhassarakāyā 5
ābhassarasaṁvattanikā 4
ābhassarato 3
ābhassarattena 1
ābhassare 13
ābhassaresu 1
ābhassarūpago 4
ābhatā 6
ābhatā”ti 4
ābhataṁ 10
ābhato 1
ābhicetasikānaṁ 68
ābhicetasiko 4
ābhidosikaṁ 10
ābhidosiko 1
ābhindeyya 2
ābhisallekhikā 3
ābhisamācārikā 2
ābhisamācārikāya 1
ābhisamācārikaṁ 14
ābhisamācārikampi 2
ābhisamācārikopi 2
ābhisekikaṁ 1
ābhiseko 2
ābhogo 1
ābhujitvā 80
ācāmabhakkhāpi 2
ācāmabhakkho 6
ācāmabhakkhopi 2
ācāradiṭṭhiyā 1
ācāragocarasampannā 7
ācāragocarasampannānaṁ 2
ācāragocarasampanno 48
ācārakusalo 1
ācāraṁ 1
ācāravipanno 25
ācāravipatti 11
ācāravipattiṁ 45
ācāravipattipaccayā 3
ācāravipattipucchā 1
ācāravipattisammatā 1
ācāravipattiyā 50
ācārena 1
ācamaṁ 1
ācamanakumbhi 1
ācamanakumbhī 2
ācamanakumbhin”ti 1
ācamanakumbhiyā 21
ācamanakumbhiyaṁ 1
ācamanaṁ 3
ācamanapādukā 2
ācamanapādukāya 2
ācamanapādukan”ti 2
ācamanasarāvakan”ti 1
ācamanasarāvake 1
ācamanasarāvakepi 2
ācamanasarāvako 1
ācamane 1
ācamanesu 1
ācamayitvāna 1
ācamehī”ti 1
ācamenti 2
ācamesī”ti 2
ācamessanti 1
ācamessatī”ti 1
ācametabbaṁ 1
ācametuṁ 2
ācaranti 18
ācarati 8
ācareyya 1
ācariṁsu 1
ācariniṁ 18
ācariniyā 18
ācarissanti 4
ācarissantī”ti 1
ācarissatī”ti 1
ācaritabbaṁ 1
ācarito 1
ācaritukāmā 2
ācaritukāmo 2
ācaritvā 4
ācariya 39
ācariyā 20
ācariyāmahayugā 2
ācariyāmahayugehi 3
ācariyānaṁ 9
ācariyā”ti 6
ācariyabhariyāti 5
ācariyabhariyāya 2
ācariyadhanaṁ 13
ācariyadhanan”ti 1
ācariyakaṁ 54
ācariyake 18
ācariyakiccaṁ 2
ācariyakulassa 1
ācariyaleso 2
ācariyaṁ 16
ācariyamahayugāpi 4
ācariyamattesu 2
ācariyamhā 3
ācariyamhi 14
ācariyampi 1
ācariyamuṭṭhi 2
ācariyantevāsī 4
ācariyapācariyānaṁ 28
ācariyapācariyehi 7
ācariyapācariyo 6
ācariyaparamparā 4
ācariyasādisā 2
ācariyassa 66
ācariyaṭṭhāne 4
ācariyavattakathā 2
ācariyavattaṁ 1
ācariyavevacanāni 1
ācariye 1
ācariyehi 6
ācariyehī”ti 1
ācariyena 40
ācariyesu 12
ācariyesupi 1
ācariyo 67
ācariyūpaddavena 1
ācariyūpaddavo 4
ācariyupajjhāyā 3
ācariyupajjhāye 2
ācariyupajjhāyehi 3
ācariyupajjhāyesu 1
ācaruṁ 1
ācayāpacayo 1
ācayāya 4
ācayagāmī 4
ācayagāmiñca 2
ācayagāmisutta 2
ācayopi 2
ācerakamhi 1
ācikkha 4
ācikkhāmi 4
ācikkhā”ti 2
ācikkhaṁ 1
ācikkhaṇā 2
ācikkhanā 14
ācikkhanāya 1
ācikkhanti 64
ācikkhate 18
ācikkhati 25
ācikkhatī 8
ācikkhatipi 3
ācikkhatu 4
ācikkhe 1
ācikkheyya 68
ācikkheyyāsī”ti 2
ācikkheyyātha 1
ācikkheyyāthā”ti 2
ācikkheyyā”ti 2
ācikkhi 12
ācikkhī”ti 1
ācikkhiṁ 1
ācikkhiṁsu 1
ācikkhissāmi 5
ācikkhissanti 17
ācikkhitabbā 5
ācikkhitabbāni 2
ācikkhitabbaṁ 46
ācikkhitabban”ti 1
ācikkhitabbo 9
ācikkhitaṁ 1
ācikkhite 1
ācikkhituṁ 17
ācikkhitun”ti 1
ācikkhitvā 2
ācikkhitvāna 1
ācikkhiyamāne 2
āciṇṇā 2
āciṇṇānāciṇṇaṁ 1
āciṇṇānāciṇṇassa 1
āciṇṇakappena 1
āciṇṇakappo 5
āciṇṇakappo”ti 4
āciṇṇaṁ 61
ācināti 4
ācinaṁ 2
ācinato 7
ādānādhippāyā 1
ādānādhippāyo 1
ādānaganthaṁ 1
ādānaṁ 5
ādānampi 2
ādānanikkhepanaṁ 4
ādānanikkhepe 1
ādānapaṭinissagge 6
ādānappaṭinissagge 1
ādānasatte 1
ādānataṇhaṁ 1
ādānesu 1
ādāsaṁ 2
ādāsapañhaṁ 2
ādāsassa 3
ādāse 12
ādāsepi 1
ādāso”ti 1
ādāsudapattavaṇā 1
ādātā 14
ādātabbā 7
ādātabbāti 1
ādātabbaṁ 23
ādātabbanti 2
ādātabban”ti 2
ādātabbo 7
ādātabbo”ti 1
ādātukāmena 5
ādātukāmenupāli 1
ādātukāmo 8
ādātuṁ 10
ādāya 392
ādāyāti 7
ādāyā”ti 9
ādāyabhāṇavāro 1
ādāyachakka 1
ādāyachakkaṁ 1
ādāyamayaṁ 1
ādāyañca 3
ādāyapannarasaka 1
ādāyapannarasakaṁ 1
ādāyasattaka 1
ādāyasattakaṁ 1
ādāyassa 4
ādāyavārasadisaṁ 1
ādento 8
ādesanāpāṭihāriya 1
ādesanāpāṭihāriyānusāsaniyā 2
ādesanāpāṭihāriyaṁ 6
ādesanāpāṭihāriye 1
ādesanāpāṭihāriyena 3
ādesanavidhā 5
ādesanavidhādesanā 1
ādesanavidhāsu 2
ādevanā 2
ādevitattaṁ 2
ādevo 2
