type,text_index,line_id,text
dhamma,an1.150-169,an1.150:1.1,"“Ye te, bhikkhave, bhikkhū anāpattiṁ āpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ.  и “Mendicants, those mendicants who explain non-offense as an offense are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. "
dhamma,an1.150-169,an1.151:1.1,"“Ye te, bhikkhave, bhikkhū āpattiṁ anāpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ.  и “Mendicants, those mendicants who explain an offense as non-offense are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. "
dhamma,an1.150-169,an1.152-159:1.1,"“Ye te, bhikkhave, bhikkhū lahukaṁ āpattiṁ garukā āpattīti dīpenti …pe… garukaṁ āpattiṁ lahukā āpattīti dīpenti …pe… duṭṭhullaṁ āpattiṁ aduṭṭhullā āpattīti dīpenti …pe… aduṭṭhullaṁ āpattiṁ duṭṭhullā āpattīti dīpenti …pe… sāvasesaṁ āpattiṁ anavasesā āpattīti dīpenti …pe… anavasesaṁ āpattiṁ sāvasesā āpattīti dīpenti …pe… sappaṭikammaṁ āpattiṁ appaṭikammā āpattīti dīpenti …pe… appaṭikammaṁ āpattiṁ sappaṭikammā āpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ.  и “Those mendicants who explain a light offense as a serious offense … a serious offense as a light offense … an offense committed with corrupt intention as an offense not committed with corrupt intention … an offense not committed with corrupt intention as an offense committed with corrupt intention … an offense requiring rehabilitation as an offense not requiring rehabilitation … an offense not requiring rehabilitation as an offense requiring rehabilitation … an offense with redress as an offense without redress … an offense without redress as an offense with redress are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. "
dhamma,an1.21-30,an1.29:1.1,"“Nāhaṁ, bhikkhave, aññaṁ ekadhammampi samanupassāmi yaṁ evaṁ abhāvitaṁ abahulīkataṁ dukkhādhivahaṁ hoti yathayidaṁ, bhikkhave, cittaṁ.  и “Mendicants, I do not see a single thing that, when it’s not developed and cultivated, brings such suffering as the mind. "
dhamma,an1.21-30,an1.29:1.2,"Cittaṁ, bhikkhave, abhāvitaṁ abahulīkataṁ dukkhādhivahaṁ hotī”ti.  и An undeveloped and uncultivated mind brings suffering.” "
dhamma,an1.306-315,an1.314:1.1,"“Micchādiṭṭhikassa, bhikkhave, purisapuggalassa yañceva kāyakammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yañca vacīkammaṁ …pe… yañca manokammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yā ca cetanā yā ca patthanā yo ca paṇidhi ye ca saṅkhārā sabbe te dhammā aniṭṭhāya akantāya amanāpāya ahitāya dukkhāya saṁvattanti.  и “Mendicants, when an individual has wrong view, whatever bodily, verbal, or mental deeds they undertake in line with that view, their intentions, aims, wishes, and choices all lead to what is unlikable, undesirable, disagreeable, harmful, and suffering. "
dhamma,an1.306-315,an1.314:1.7,"Evamevaṁ kho, bhikkhave, micchādiṭṭhikassa purisapuggalassa yañceva kāyakammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yañca vacīkammaṁ …pe… yañca manokammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yā ca cetanā yā ca patthanā yo ca paṇidhi ye ca saṅkhārā sabbe te dhammā aniṭṭhāya akantāya amanāpāya ahitāya dukkhāya saṁvattanti.  и In the same way, when an individual has wrong view, whatever bodily, verbal, or mental deeds they undertake in line with that view, their intentions, aims, wishes, and choices all lead to what is unlikable, undesirable, disagreeable, harmful, and suffering. "
dhamma,an1.316-332,an1.316:1.1,"“Ekapuggalo, bhikkhave, loke uppajjamāno uppajjati bahujanaahitāya bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ.  и “One person, mendicants, arises in the world for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. "
dhamma,an1.316-332,an1.316:1.5,"Ayaṁ kho, bhikkhave, ekapuggalo loke uppajjamāno uppajjati bahujanaahitāya bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānan”ti.  и This is one person who arises in the world for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.” "
dhamma,an1.316-332,an1.319:1.1,"“Nāhaṁ, bhikkhave, aññaṁ ekapuggalampi samanupassāmi yo evaṁ bahujanaahitāya paṭipanno bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ yathayidaṁ, bhikkhave, makkhali moghapuriso.  и “Mendicants, I do not see a single other person who acts for the hurt and unhappiness of the people, for the harm, hurt, and suffering of many people, of gods and humans like that silly man, the bamboo-staffed ascetic. "
