text_index,type,text_type,line_id,text
an1.150-169,dhamma,"[1, 3, 1, 3, 1, 3]","['an1.150:1.1', 'an1.150:1.1', 'an1.151:1.1', 'an1.151:1.1', 'an1.152-159:1.1', 'an1.152-159:1.1']","['“Ye te, bhikkhave, bhikkhū anāpattiṁ āpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, those mendicants who explain non-offense as an offense are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', '“Ye te, bhikkhave, bhikkhū āpattiṁ anāpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, those mendicants who explain an offense as non-offense are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', '“Ye te, bhikkhave, bhikkhū lahukaṁ āpattiṁ garukā āpattīti dīpenti …pe… garukaṁ āpattiṁ lahukā āpattīti dīpenti …pe… duṭṭhullaṁ āpattiṁ aduṭṭhullā āpattīti dīpenti …pe… aduṭṭhullaṁ āpattiṁ duṭṭhullā āpattīti dīpenti …pe… sāvasesaṁ āpattiṁ anavasesā āpattīti dīpenti …pe… anavasesaṁ āpattiṁ sāvasesā āpattīti dīpenti …pe… sappaṭikammaṁ āpattiṁ appaṭikammā āpattīti dīpenti …pe… appaṭikammaṁ āpattiṁ sappaṭikammā āpattīti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Those mendicants who explain a light offense as a serious offense … a serious offense as a light offense … an offense committed with corrupt intention as an offense not committed with corrupt intention … an offense not committed with corrupt intention as an offense committed with corrupt intention … an offense requiring rehabilitation as an offense not requiring rehabilitation … an offense not requiring rehabilitation as an offense requiring rehabilitation … an offense with redress as an offense without redress … an offense without redress as an offense with redress are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ']"
an1.21-30,dhamma,"[1, 3, 1, 3]","['an1.29:1.1', 'an1.29:1.1', 'an1.29:1.2', 'an1.29:1.2']","['“Nāhaṁ, bhikkhave, aññaṁ ekadhammampi samanupassāmi yaṁ evaṁ abhāvitaṁ abahulīkataṁ dukkhādhivahaṁ hoti yathayidaṁ, bhikkhave, cittaṁ. ', '“Mendicants, I do not see a single thing that, when it’s not developed and cultivated, brings such suffering as the mind. ', 'Cittaṁ, bhikkhave, abhāvitaṁ abahulīkataṁ dukkhādhivahaṁ hotī”ti. ', 'An undeveloped and uncultivated mind brings suffering.” ']"
an1.306-315,dhamma,"[1, 3, 1, 3]","['an1.314:1.1', 'an1.314:1.1', 'an1.314:1.7', 'an1.314:1.7']","['“Micchādiṭṭhikassa, bhikkhave, purisapuggalassa yañceva kāyakammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yañca vacīkammaṁ …pe… yañca manokammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yā ca cetanā yā ca patthanā yo ca paṇidhi ye ca saṅkhārā sabbe te dhammā aniṭṭhāya akantāya amanāpāya ahitāya dukkhāya saṁvattanti. ', '“Mendicants, when an individual has wrong view, whatever bodily, verbal, or mental deeds they undertake in line with that view, their intentions, aims, wishes, and choices all lead to what is unlikable, undesirable, disagreeable, harmful, and suffering. ', 'Evamevaṁ kho, bhikkhave, micchādiṭṭhikassa purisapuggalassa yañceva kāyakammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yañca vacīkammaṁ …pe… yañca manokammaṁ yathādiṭṭhi samattaṁ samādinnaṁ yā ca cetanā yā ca patthanā yo ca paṇidhi ye ca saṅkhārā sabbe te dhammā aniṭṭhāya akantāya amanāpāya ahitāya dukkhāya saṁvattanti. ', 'In the same way, when an individual has wrong view, whatever bodily, verbal, or mental deeds they undertake in line with that view, their intentions, aims, wishes, and choices all lead to what is unlikable, undesirable, disagreeable, harmful, and suffering. ']"
an1.316-332,dhamma,"[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]","['an1.316:1.1', 'an1.316:1.1', 'an1.316:1.5', 'an1.316:1.5', 'an1.319:1.1', 'an1.319:1.1', 'an1.319:1.2', 'an1.319:1.2', 'an1.319:1.3', 'an1.319:1.3', 'an1.324:1.1', 'an1.324:1.1', 'an1.325:1.1', 'an1.325:1.1']","['“Ekapuggalo, bhikkhave, loke uppajjamāno uppajjati bahujanaahitāya bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“One person, mendicants, arises in the world for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', 'Ayaṁ kho, bhikkhave, ekapuggalo loke uppajjamāno uppajjati bahujanaahitāya bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānan”ti. ', 'This is one person who arises in the world for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.” ', '“Nāhaṁ, bhikkhave, aññaṁ ekapuggalampi samanupassāmi yo evaṁ bahujanaahitāya paṭipanno bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ yathayidaṁ, bhikkhave, makkhali moghapuriso. ', '“Mendicants, I do not see a single other person who acts for the hurt and unhappiness of the people, for the harm, hurt, and suffering of many people, of gods and humans like that silly man, the bamboo-staffed ascetic. ', 'Seyyathāpi, bhikkhave, nadīmukhe khippaṁ uḍḍeyya bahūnaṁ macchānaṁ ahitāya dukkhāya anayāya byasanāya; ', 'Just as a trap set at the mouth of a river would bring harm, suffering, calamity, and disaster for many fish, ', 'evamevaṁ kho, bhikkhave, makkhali moghapuriso manussakhippaṁ maññe loke uppanno bahūnaṁ sattānaṁ ahitāya dukkhāya anayāya byasanāyā”ti. ', 'so too that silly man, the bamboo-staffed ascetic, is a trap for humans, it seems to me. He has arisen in the world for the harm, suffering, calamity, and disaster of many beings.” ', '“Durakkhāte, bhikkhave, dhammavinaye yo āraddhavīriyo so dukkhaṁ viharati. ', '“Mendicants, in a poorly explained teaching and training an energetic person lives in suffering. ', '“Svākkhāte, bhikkhave, dhammavinaye yo kusīto so dukkhaṁ viharati. ', '“Mendicants, in a well explained teaching and training a lazy person lives in suffering. ']"
an1.394-574,dhamma,"[1, 3, 1, 3]","['an1.470:1.1', 'an1.470:1.1', 'an1.471:1.1', 'an1.471:1.1']","['anicce dukkhasaññaṁ bhāveti … ', 'the perception of suffering in impermanence … ', 'dukkhe anattasaññaṁ bhāveti … ', 'the perception of not-self in suffering … ']"
an1.98-139,dhamma,"[1, 3, 1, 3, 1, 3]","['an1.130:1.1', 'an1.130:1.1', 'an1.131:1.1', 'an1.131:1.1', 'an1.132-139:1.2', 'an1.132-139:1.2']","['“Ye te, bhikkhave, bhikkhū adhammaṁ dhammoti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, those mendicants who explain what is not the teaching as the teaching are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', '“Ye te, bhikkhave, bhikkhū dhammaṁ adhammoti dīpenti te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, those mendicants who explain what is the teaching as not the teaching are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', 'te, bhikkhave, bhikkhū bahujanaahitāya paṭipannā bahujanaasukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', 'are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ']"
an2.1-10,dhamma,"[1, 3, 1, 3, 1, 3, 1, 3, 1, 3]","['an2.1:4.3', 'an2.1:4.3', 'an2.6:1.5', 'an2.6:1.5', 'an2.6:1.6', 'an2.6:1.6', 'an2.6:2.2', 'an2.6:2.2', 'an2.6:2.3', 'an2.6:2.3']","['‘kāyaduccaritassa kho pana pāpako dukkho vipāko abhisamparāyaṁ, vacīduccaritassa pāpako dukkho vipāko abhisamparāyaṁ, manoduccaritassa pāpako dukkho vipāko abhisamparāyaṁ. ', '‘Bad conduct of body, speech, or mind has a bad, painful result in the next life. ', 'Rāgaṁ appahāya, dosaṁ appahāya, mohaṁ appahāya na parimuccati jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi. ', 'When these are not given up, you’re not freed from rebirth, old age, and death, from sorrow, lamentation, pain, sadness, and distress. ', 'Na parimuccati dukkhasmāti vadāmi. ', 'You’re not freed from suffering, I say. ', 'Rāgaṁ pahāya, dosaṁ pahāya, mohaṁ pahāya, parimuccati jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi. ', 'When these are given up, you’re freed from rebirth, old age, and death, from sorrow, lamentation, pain, sadness, and distress. ', 'Parimuccati dukkhasmāti vadāmi. ', 'You’re freed from suffering, I say. ']"
an2.11-20,dhamma,"[1, 3, 1, 3, 1, 3]","['an2.13:2.5', 'an2.13:2.5', 'an2.19:1.7', 'an2.19:1.7', 'an2.19:2.7', 'an2.19:2.7']","['Sukhassa ca pahānā dukkhassa ca pahānā pubbeva somanassadomanassānaṁ atthaṅgamā adukkhamasukhaṁ upekkhāsatipārisuddhiṁ catutthaṁ jhānaṁ upasampajja viharati. ', 'Giving up pleasure and pain, and ending former happiness and sadness, they enter and remain in the fourth absorption, without pleasure or pain, with pure equanimity and mindfulness. ', 'Akusalañca hidaṁ, bhikkhave, pahīnaṁ ahitāya dukkhāya saṁvatteyya nāhaṁ evaṁ vadeyyaṁ: ', 'And if giving up the unskillful led to harm and suffering, I would not say: ', 'Kusalañca hidaṁ, bhikkhave, bhāvitaṁ ahitāya dukkhāya saṁvatteyya, nāhaṁ evaṁ vadeyyaṁ: ', 'If developing the skillful led to harm and suffering I wouldn’t say: ']"
an2.180-229,dhamma,"[1, 3, 1, 3]","['an2.190-194:1.1', 'an2.190-194:1.1', 'an2.190-194:1.4', 'an2.190-194:1.4']","['“Dvīhi, bhikkhave, dhammehi samannāgato dukkhaṁ viharati. ', '“Anyone who has two things lives in suffering. ', 'Imehi kho, bhikkhave, dvīhi dhammehi samannāgato dukkhaṁ viharati”. ', 'Anyone who has these two things lives in suffering.” ']"
an2.230-279,dhamma,"[1, 3]","['an2.230-279:1.1', 'an2.230-279:1.1']","['“Dveme, bhikkhave, dhammā akusalā … dveme, bhikkhave, dhammā kusalā … dveme, bhikkhave, dhammā sāvajjā … dveme, bhikkhave, dhammā anavajjā … dveme, bhikkhave, dhammā dukkhudrayā … dveme, bhikkhave, dhammā sukhudrayā … dveme, bhikkhave, dhammā dukkhavipākā … dveme, bhikkhave, dhammā sukhavipākā … dveme, bhikkhave, dhammā sabyābajjhā … dveme, bhikkhave, dhammā abyābajjhā. ', '“These two things are unskillful … are skillful … are blameworthy … are blameless … have suffering as outcome … have happiness as outcome … result in suffering … result in happiness … are hurtful … are not hurtful. ']"
